x,y,z,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
102.0435333,30.6534138,1838.105,15.108,5.059,0.007,10.365,0.909,5.811,-1.843,-4.151,-0.755,-5.546,-4.42,0.462,-1.91,-2.005,-4.027,-7.073,-6.03,-6.511,-5.463,-5.53,-5.487
102.0435638,30.6534195,1795.933,-3.715,-11.243,5.874,-8.247999999999998,5.316,-6.895,2.795,0.16,-0.445,5.201,-1.569,2.053,-2.588,2.575,2.77,5.259,5.299,3.872,1.26,2.093,5.249
102.042717,30.6534195,1893.767,5.218,4.157,3.292,3.315,2.304,2.23,1.199,0.536,0.423,-0.07399999999999998,-0.661,-0.959,-1.757,-2.124,-2.734,-3.409,-3.987,-4.209,-4.424,-4.929,-5.58
102.0435028,30.6535378,1839.844,0.138,6.408,1.035,5.746,0.362,3.815,-0.517,2.143,2.585,-1.885,-3.544,1.995,-0.745,-3.221,-2.111,-0.936,-4.666,-3.516,-3.532,-4.486,-7.889
102.043541,30.6535435,1843.386,1.485,9.335,-0.031,-0.099,-1.299,3.049,2.003,2.423,-0.478,1.932,7.673,-6.774,1.359,-1.919,-2.854,-5.387,-4.27,-3.613,-2.106,-3.153,-4.766
102.0423737,30.6534958,1928.008,6.448,5.264,4.276,4.176,2.919,2.722,1.568,0.782,0.546,-0.07399999999999998,-0.784,-1.205,-2.248,-2.739,-3.472,-4.27,-4.971,-5.316,-5.654,-6.282,-7.056
102.0419235,30.6535568,1953.729,-0.015,1.715,-0.77,1.11,5.544,1.689,2.435,5.112,0.144,12.798,5.281,3.15,-4.39,-3.01,-3.513,-5.226,-4.401,-3.699,-3.916,-2.974,-2.692
102.04206850000001,30.6535778,1953.924,9.497,5.741,6.592,4.853,-1.413,2.39,-0.324,-4.23,0.606,-12.947,-6.509,-4.877,1.259,-0.762,-1.383,-0.925,-2.812,-3.861,-3.978,-5.836,-7.324
102.0433044,30.6541443,1850.096,0.788,1.518,-0.713,1.006,-1.268,-1.514,0.135,-0.161,-0.262,9.989,0.205,-1.108,-0.055,-1.198,0.735,0.872,-0.7269999999999999,-0.413,0.763,1.214,0.389
102.0433426,30.65415,1857.307,1.755,-0.307,0.983,0.1,1.929,2.818,-0.106,-0.344,0.318,-10.137,-0.738,0.769,-0.301,0.895,-1.467,-2.165,-0.933,-0.902,-1.717,-2.39,-2.077
102.0427704,30.6544476,1879.67,6.217,4.168,6.92,3.201,6.471,1.909,8.529,-0.227,4.047,3.766,-4.307,-3.673,-7.405999999999999,-3.913,-6.254,-5.353,-6.762,-1.876,-2.078,-6.459,-10.923
102.0429764,30.6544781,1884.865,5.368,5.181,0.584,4.234,-1.289,3.012,-5.787,1.53,-3.086,-3.914,2.869,1.526,3.433,-0.91,0.096,-2.27,-2.132,-7.575999999999999,-7.918999999999999,-4.663,-1.616
102.0431747,30.6545067,1847.901,2.073,1.327,0.776,1.114,0.732,0.973,0.255,-0.09300000000000003,0.108,-0.07399999999999998,-0.347,-0.33,-0.499,-0.552,-0.8469999999999999,-1.208,-1.472,-1.379,-1.279,-1.47,-1.806
102.0427551,30.6550827,1869.094,6.829,6.272,3.124,3.489,1.058,2.24,3.82,-0.9930000000000002,2.01,-8.202,-0.925,-0.717,-0.028,-3.003,-5.264,-3.409,-2.487,-6.581,-5.007,-8.211,-7.527999999999999
102.04279330000001,30.6550884,1873.423,7.186,5.263,6.324,5.647,5.339,3.653,-0.349,2.782,-0.807,8.053,-0.756,-1.917,-4.917,-3.035,-2.351,-5.914,-8.352,-5.059,-7.42,-5.584,-7.926999999999999
102.043541,30.655201,1849.213,7.164,12.218000000000004,5.303,2.101,4.521,0.025,-1.699,0.645,10.102,1.626,-9.909,-1.02,-3.098,-1.925,-3.535,-4.857,-6.772,-6.244,-5.221,-9.047,-7.325
102.042572,30.6551838,1887.241,8.833,11.317,12.748,2.597,-7.151,-4.275,4.32,0.187,-7.949,-0.096,3.287,-3.116,-3.135,1.766,-2.258,-6.579,-5.191,-6.733,-7.458999999999999,-3.396,-3.048
102.0424423,30.6551628,1889.255,4.139,4.613,4.935,-6.184,7.194,9.23,8.407,6.229,4.572,-3.808,4.545,1.638,0.7229999999999999,-3.231,-9.624,0.275,-10.075,-12.055,-12.265,-13.319,-12.416
102.042511,30.6551743,1884.225,8.391,2.618,2.413,14.753,3.616,1.453,-2.886,-1.478,-2.452,-1.523,-3.269,-4.288,-3.504,-3.248,-2.461,-3.946,-4.41,-3.574,-4.89,-1.417,-4.983
102.0425797,30.6551838,1895.154,-1.39,6.552,2.039,0.676,4.184,2.293,6.057,4.256,0.689,-3.614,-1.346,6.568,-1.343,-2.804,-1.354,-4.938,-5.563,-4.886,-5.773,-10.28,-7.331
102.0435181,30.655323,1825.799,0.696,-6.115,-0.131,8.939999999999998,-0.049,5.712,9.425,-0.499,-6.871,4.502,-6.234,1.953,-3.073,0.519,-3.001,0.472,-0.858,-1.175,-1.387,1.106,-3.104
102.0417786,30.6551933,1943.821,-0.08999999999999998,-0.62,-0.954,-0.4,-0.35,0.107,-0.394,-0.525,-0.108,-0.07399999999999998,-0.131,0.103,0.367,0.53,0.451,0.307,0.259,0.568,0.884,0.91,0.79
102.0419464,30.6552162,1881.827,15.973,3.611,1.893,4.848,4.7,-0.777,0.181,4.001,6.272,9.168,-11.46,-1.198,-8.152,-7.511999999999999,-8.045999999999998,-1.715,-0.472,-2.544,-2.976,-6.234,-6.913
102.0419769,30.6552219,1901.23,9.972,1.845,4.042,10.748,4.902,3.481,-1.112,0.433,-1.725,8.942999999999998,-13.086,-2.602,-4.955,-1.859,-0.324,-5.531,-2.485,-1.477,-4.436,-4.723,-5.272
102.0420837,30.6552372,1885.375,7.753999999999999,7.235999999999998,-0.9910000000000002,-1.323,1.765,-2.243,0.672,8.692999999999998,5.803,-2.177,2.538,2.646,-2.636,-4.689,-9.069,2.65,-0.737,-3.237,-5.501,-11.251,-13.558
102.0421219,30.6552429,1920.735,18.639,13.926,1.506,0.909,1.614,-2.722,0.254,-9.915,5.935,1.839,2.988,0.072,1.84,-4.429,-4.308,-8.38,-7.514,-7.53,-5.851,-7.94,-10.323
102.0421524,30.6552486,1888.927,-1.844,-3.086,3.018,-0.008,6.034,2.059,-0.488,-2.865,5.181,5.078,6.313,-0.025,-2.508,-1.591,3.544,-1.75,-2.177,-4.269,-2.623,-4.052,-3.859
102.0422211,30.6552582,1905.972,6.618,6.059,12.087,2.892,-0.759,15.052,4.495,1.166,-3.492,-1.897,1.963,-2.538,-3.576,-4.692,-5.255,-10.556,-8.605,-9.557,-8.138,-7.185,-8.992
102.0421906,30.6552544,1889.921,4.826,1.869,1.802,12.713,3.594,6.071,-2.7,-1.857,-2.301,1.099,-3.216,-5.223,-1.955,-2.277,-1.183,-4.222,-4.681,-3.438,-2.417,-1.014,-6.003
102.0435028,30.6554489,1853.306,2.216,1.349,0.243,-4.999,-0.349,-1.276,-5.803,0.347,-2.52,-6.351,14.716,-2.694,3.133,-2.179,1.681,-1.938,0.129,-0.188,-1.085,-0.711,0.382
102.0419006,30.6553364,1934.894,4.914,12.811000000000003,4.433,-0.8499999999999999,0.907,3.118,2.015,-0.639,-1.562,-7.809,-0.986,-0.415,4.638,-0.526,1.851,-5.693,-5.112,-9.736,-7.636999999999999,-7.926,-10.651
102.0419312,30.6553421,1934.643,2.017,9.414,-0.633,8.029999999999998,10.294,-0.159,3.313,-0.501,-1.957,-14.339,2.141,-2.242,3.729,-2.764,-1.099,-7.336,-6.84,-7.312,-8.605,-7.961999999999998,-9.393
102.0419693,30.6553478,1920.319,0.646,5.0,8.439,6.007,6.705,0.53,2.558,1.1230000000000002,0.372,7.009,2.335,-3.209,-0.869,-2.22,-4.022,-3.821,-6.088,-6.355,-9.117,-8.242,-6.717
102.042038,30.6553574,1922.295,-8.479,-5.689,3.779,-1.968,1.637,5.612,-0.795,4.901,0.503,-1.73,3.258,-4.912,-3.515,6.554,-5.21,0.108,-2.664,2.179,3.394,-0.145,5.687
102.041954,30.6553459,1912.072,9.272,1.435,5.019,10.319,5.363,3.872,-2.816,1.129,-2.032,7.683,-8.298,-5.743,-4.861,-2.678,-3.115,-5.533,-3.938,-1.742,-3.64,-2.758,-2.578
102.0423813,30.6554089,1896.786,9.395,6.835,4.641,3.082,0.308,2.741,2.145,0.257,-0.914,-3.392,2.757,-4.024,-0.981,-4.15,-3.021,-4.773,-5.123,-5.213,-6.775,-6.602,-7.067
102.0424118,30.6554146,1894.8,9.5,8.053,6.369,1.459,1.108,-0.421,-1.961,1.07,2.966,-3.285,-5.611,-3.0,-1.204,-3.281,-5.435,-1.9,-4.001,-3.509,-4.43,-4.906,-4.786
102.0425186,30.6554298,1879.474,4.113,2.481,5.382,-3.991,3.731,2.568,1.215,-1.055,-1.855,7.199,3.882,-4.427,2.162,-0.562,-0.519,-3.294,-3.089,-3.85,-3.045,-4.212,-3.939
102.0430527,30.655508,1867.407,2.725,1.914,1.298,1.571,1.058,1.234,0.451,0.038,0.174,-0.07399999999999998,-0.412,-0.46,-0.76,-0.878,-1.239,-1.664,-1.994,-1.966,-1.931,-2.188,-2.589
102.0438461,30.6556282,1815.029,2.308,1.751,-4.392,-5.11,-1.841,-2.547,-3.007,1.89,0.241,0.023,-8.809,1.15,0.251,5.425,6.497,1.202,2.369,2.149,3.083,1.546,2.034
102.0440826,30.6556625,1854.203,2.629,-2.634,0.102,-3.099,-7.016,-3.675,-3.285,-0.076,-1.959,-4.939,-0.336,0.708,-0.745,0.763,4.119,3.781,7.658,1.297,3.83,3.431,2.786
102.0420227,30.6554832,1934.894,7.016,-0.515,2.548,1.944,2.893,12.736,0.586,3.54,3.285,3.166,0.333,-2.372,-8.667,-10.185,-1.451,-7.122,-9.005,-0.82,-2.588,-2.032,-2.972
102.0421295,30.6554985,1933.409,7.542,6.757,5.018,-2.722,-4.917,2.219,2.388,-3.329,-1.283,-8.006,-4.648,8.697,2.588,-0.552,1.037,0.77,-1.925,-8.563,-5.791,-3.962,-10.643
102.04216,30.6555042,1926.051,3.747,8.682,0.459,7.19,-8.368,-0.114,4.896,-4.021,-3.259,-11.48,1.226,0.408,2.997,1.674,-1.06,-1.184,-2.373,-3.709,-4.585,-4.238,-7.897999999999999
102.0425491,30.6555614,1890.958,-3.141,-1.3730000000000002,-9.807,7.519,3.105,2.549,9.852,0.986,1.96,5.994,-0.546,8.852,-2.248,-1.464,-0.911,-1.096,-2.363,-4.298,-3.928,-4.746,-4.198
102.0426178,30.6555729,1895.092,6.431,2.806,3.646,4.186,5.713,2.208,-0.323,0.322,0.286,-1.689,1.312,-1.339,-2.19,-3.399,-3.929,-4.263,-4.514,-4.16,-4.917,-5.102,-6.516
102.04265590000001,30.6555767,1895.026,6.145,3.695,9.463,3.69,2.841,2.361,-0.646,1.033,2.027,-3.678,-9.07,-0.244,-5.553,-0.192,-4.814,-3.937,-3.7,-3.083,-3.66,-4.551,-5.503
102.0436935,30.6557331,1845.608,7.674,4.452,0.326,4.427,5.37,0.565,8.252,-2.202,-2.218,5.911,1.849,4.274,0.669,-5.835,-2.918,-4.848,-5.241,-5.101,-8.438,-7.825999999999999,-10.205
102.043869,30.6557579,1812.368,-1.959,-0.742,-6.585,4.639,-0.669,-0.741,-9.702000000000002,5.262,-2.023,-3.617,-3.378,0.643,-0.954,10.646,1.285,0.618,3.044,1.4,2.586,-0.027,2.593